Time	Flow V	Flow L/S	Volume L	Box Press	Box V	Mouth Press	Mouth V	Corrected Volume	Volume AccelerationIter	VolumeAccelTime
15.87	-2.32698	-4.28368	-0.24521	164.15917	3.10059	-2.1013	-0.23438	0.6373	-0.06292	-6.292
15.88	-2.33674	-4.30166	-0.28823	164.93772	3.11523	-2.03118	-0.22461	0.59428	-0.01798	-1.798
15.89	-2.31721	-4.26571	-0.33089	164.41869	3.10547	-1.92601	-0.20996	0.55162	0.03595	3.595
15.9	-2.28792	-4.21177	-0.37301	162.34256	3.06641	-1.82084	-0.19531	0.5095	0.05394	5.394
15.91	-2.22932	-4.10391	-0.41404	159.48789	3.0127	-1.64556	-0.1709	0.46847	0.10786	10.786
15.92	-2.15608	-3.96908	-0.45373	154.55709	2.91992	-1.43522	-0.1416	0.42878	0.13483	13.483
15.93	-2.05842	-3.78931	-0.49163	147.03114	2.77832	-1.11971	-0.09766	0.39088	0.17977	17.977
15.94	-1.92659	-3.54661	-0.52709	136.91003	2.58789	-0.73409	-0.04395	0.35542	0.2427	24.27
15.95	-1.73127	-3.18707	-0.55896	123.15571	2.3291	-0.27835	0.01953	0.32355	0.35954	35.954
15.96	-1.62874	-2.9983	-0.58895	106.80623	2.02148	0.2475	0.09277	0.29356	0.18877	18.877
15.97	-1.47737	-2.71966	-0.61614	89.15917	1.68945	0.70324	0.15625	0.26637	0.27864	27.864
15.98	-1.1551	-2.12583	-0.6374	72.55017	1.37695	0.84346	0.17578	0.24511	0.59383	59.383
15.99	-0.7303	-1.33717	-0.65077	56.46021	1.07422	0.59807	0.1416	0.23174	0.78866	78.866
16	0.46111	0	-0.65077	40.62976	0.77637	0.31761	0.10254	0.23174	1.33717	133.717
16.01	1.07146	1.88967	-0.63188	25.31834	0.48828	0.10727	0.07324	0.25063	1.88967	188.967
16.02	1.43279	2.52145	-0.60666	9.48789	0.19043	0.03716	0.06348	0.27585	0.63178	63.178
16.03	1.72087	3.01579	-0.57651	-5.04498	-0.08301	-0.03295	0.05371	0.306	0.49434	49.434
16.04	2.18962	3.83843	-0.53812	-16.72318	-0.30273	-0.10307	0.04395	0.34439	0.82264	82.264
16.05	2.27263	3.98362	-0.49828	-27.10381	-0.49805	-0.17318	0.03418	0.38423	0.14519	14.519
16.06	2.2824	3.99972	-0.45829	-35.14879	-0.64941	-0.17318	0.03418	0.42422	0.0161	1.61
16.07	2.24822	3.94119	-0.41888	-41.11765	-0.76172	-0.13812	0.03906	0.46363	-0.05853	-5.853
16.08	2.17986	3.82116	-0.38066	-45.52941	-0.84473	-0.10307	0.04395	0.50185	-0.12003	-12.003
16.09	2.10662	3.69249	-0.34374	-48.12457	-0.89355	-0.10307	0.04395	0.53877	-0.12867	-12.867
16.1	2.03826	3.57236	-0.30802	-49.68166	-0.92285	-0.10307	0.04395	0.57449	-0.12013	-12.013
16.11	1.97478	3.46075	-0.27341	-49.94118	-0.92773	-0.13812	0.03906	0.6091	-0.11161	-11.161
16.12	1.9113	3.34917	-0.23992	-49.68166	-0.92285	-0.13812	0.03906	0.64259	-0.11158	-11.158
16.13	1.84294	3.22906	-0.20763	-49.16263	-0.91309	-0.10307	0.04395	0.67488	-0.12011	-12.011
16.14	1.78435	3.12671	-0.17636	-48.12457	-0.89355	-0.06801	0.04883	0.70615	-0.10235	-10.235
16.15	1.72576	3.02434	-0.14612	-46.30796	-0.85938	-0.06801	0.04883	0.73639	-0.10237	-10.237
16.16	1.68181	2.94763	-0.11664	-43.19377	-0.80078	-0.06801	0.04883	0.76587	-0.07671	-7.671
16.17	1.6574	2.90488	-0.08759	-38.52249	-0.71289	-0.06801	0.04883	0.79492	-0.04275	-4.275
16.18	1.64275	2.87943	-0.0588	-31.77509	-0.58594	-0.03295	0.05371	0.82371	-0.02545	-2.545
16.19	1.60857	2.81955	-0.0306	-22.17301	-0.40527	0.0021	0.05859	0.85191	-0.05988	-5.988
16.2	1.54998	2.7173	-0.00343	-10.75433	-0.19043	0.0021	0.05859	0.87908	-0.10225	-10.225
16.21	1.48162	2.60044	0.02258	2.48097	0.05859	0.0021	0.05859	0.90509	-0.11686	-11.686
16.22	1.39861	2.46183	0.0472	17.53287	0.3418	0.0021	0.05859	0.92971	-0.13861	-13.861
16.23	1.28142	2.25738	0.06977	33.88235	0.64941	-0.03295	0.05371	0.95228	-0.20445	-20.445
16.24	1.1447	2.01713	0.08994	50.49135	0.96191	-0.13812	0.03906	0.97245	-0.24025	-24.025
16.25	0.92498	1.62962	0.10624	66.3218	1.25977	-0.38352	0.00488	0.98875	-0.38751	-38.751
16.26	0.61736	1.08097	0.11705	79.29758	1.50391	-0.73409	-0.04395	0.99956	-0.54865	-54.865
16.27	-0.34456	0	0.11705	89.6782	1.69922	-1.01454	-0.08301	0.99956	-1.08097	-108.097
16.28	-0.97932	-1.79961	0.09905	100.57785	1.9043	-1.25994	-0.11719	0.98156	-1.79961	-179.961
16.29	-1.34553	-2.47696	0.07428	111.73702	2.11426	-1.50533	-0.15137	0.95679	-0.67735	-67.735
16.3	-1.58479	-2.91741	0.04511	122.37716	2.31445	-1.71567	-0.18066	0.92762	-0.44045	-44.045
16.31	-1.99006	-3.66347	0.00847	133.0173	2.51465	-1.92601	-0.20996	0.89098	-0.74606	-74.606
16.32	-2.1512	-3.96009	-0.03113	142.35986	2.69043	-2.1013	-0.23438	0.85138	-0.29662	-29.662
