Time	Exp Mouth Pressure	Pred Mouth Pressure
15.1	-0.10307	-0.133878155
15.11	-0.10307	-0.126494314
15.12	-0.06801	-0.11374176
15.13	-0.10307	-0.10741174
15.14	-0.06801	-0.099927436
15.15	-0.03295	-0.092770695
15.16	-0.03295	-0.090722495
15.17	-0.03295	-0.090711414
15.18	0.0021	-0.102420513
15.19	0.0021	-0.114645973
15.2	-0.03295	-0.114694696
15.21	-0.13812	-0.126235133
15.22	-0.31341	-0.155404086
15.23	-0.66397	-0.223315358
15.24	-0.90937	-0.614529505
15.25	-1.11971	-1.305835126
15.26	-1.33005	-1.363466951
15.27	-1.50533	-1.584026983
15.28	-1.71567	-1.853545835
15.29	-1.89096	-2.101574324
15.3	-1.99613	-2.104021269
15.31	-2.06624	-2.096895521
15.32	-2.13635	-2.106217267
15.33	-2.13635	-2.070210366
15.34	-2.1013	-2.013122566
15.35	-2.06624	-1.933574192
15.36	-1.96107	-1.825415754
15.37	-1.89096	-1.711762582
15.38	-1.78579	-1.534314625
15.39	-1.64556	-1.366188288
15.4	-1.40016	-1.171452173
15.41	-1.15477	-0.9572325
15.42	-0.8042	-0.742697832
15.43	-0.34846	-0.50426366
15.44	0.10727	-0.28723323
15.45	0.56301	-0.123137067
15.46	0.80841	0.083319387
15.47	0.70324	0.325586709
15.48	0.38773	0.416088149
15.49	0.17739	0.351058568
15.5	0.07222	0.383758819
15.51	0.0021	0.29509619
15.52	-0.03295	-0.092025207
15.53	-0.10307	-0.166356247
15.54	-0.13812	-0.204906226
15.55	-0.17318	-0.213691896
15.56	-0.13812	-0.201838948
15.57	-0.13812	-0.170892972
15.58	-0.10307	-0.142891137
15.59	-0.10307	-0.135920273
15.6	-0.10307	-0.11977806
15.61	-0.10307	-0.106034932
15.62	-0.06801	-0.092039569
15.63	-0.06801	-0.078133615
15.64	-0.03295	-0.071328852
15.65	-0.03295	-0.069872898
15.66	-0.06801	-0.070787963
15.67	-0.06801	-0.072446585
15.68	-0.03295	-0.077024302
15.69	0.0021	-0.092900601
15.7	0.03716	-0.10209371
15.71	0.03716	-0.100466591
15.72	0.0021	-0.10286703
15.73	-0.03295	-0.11259277
15.74	-0.13812	-0.135413245
15.75	-0.34846	-0.17717463
15.76	-0.66397	-0.269552101
15.77	-0.87431	-0.620415318
15.78	-1.11971	-1.439900039
15.79	-1.33005	-1.404494486
15.8	-1.54039	-1.654184997
15.81	-1.68062	-1.907102778
15.82	-1.8559	-2.17012737
15.83	-1.92601	-2.122494775
15.84	-2.03118	-2.132637819
15.85	-2.1013	-2.124536303
15.86	-2.13635	-2.091501963
15.87	-2.1013	-2.043441635
15.88	-2.03118	-1.956169394
15.89	-1.92601	-1.827061575
15.9	-1.82084	-1.688130742
15.91	-1.64556	-1.513069197
15.92	-1.43522	-1.325442438
15.93	-1.11971	-1.117479987
15.94	-0.73409	-0.88427577
15.95	-0.27835	-0.609098033
15.96	0.2475	-0.417194349
15.97	0.70324	-0.230349797
15.98	0.84346	0.026842357
15.99	0.59807	0.291484901
16	0.31761	0.443189657
16.01	0.10727	0.234115457
16.02	0.03716	0.30452751
16.03	-0.03295	0.154846549
16.04	-0.10307	-0.241837081
16.05	-0.17318	-0.243405139
16.06	-0.17318	-0.256287951
16.07	-0.13812	-0.242394368
16.08	-0.10307	-0.206024095
16.09	-0.10307	-0.172296015
16.1	-0.10307	-0.145696433
16.11	-0.13812	-0.125221162
16.12	-0.13812	-0.107939052
16.13	-0.10307	-0.091609276
16.14	-0.06801	-0.080822953
16.15	-0.06801	-0.07411032
16.16	-0.06801	-0.072020176
16.17	-0.06801	-0.076923992
16.18	-0.03295	-0.088363876
16.19	0.0021	-0.103197045
16.2	0.0021	-0.113643433
16.21	0.0021	-0.118015444
16.22	0.0021	-0.124105878
16.23	-0.03295	-0.139311755
16.24	-0.13812	-0.151318474
16.25	-0.38352	-0.205127407
16.26	-0.73409	-0.298143876
16.27	-1.01454	-0.660985953
16.28	-1.25994	-1.562003215
16.29	-1.50533	-1.559262734
16.3	-1.71567	-1.72014836
16.31	-1.92601	-2.271820414
16.32	-2.1013	-2.312123695
